PB_ratio,Market_Cap,Debt_to_Equity,Z_score,Quick_Ratio,Total_Asset_Growth,Net_Debt,Operating_Profitability
1.159307222,1359150000,0.051806139,3.646190696,1.22039,0.326398217,-133822000,48617000
1.429358258,1047550000,0.096045291,4.584671379,4.13295,0.075576548,-14381000,-347000
1.604536293,795400000,0.103445235,3.451043224,4.15684,0.068264307,-91374000,-5427000
1.622259934,828200000,0.033280531,5.141213497,4.07798,-0.084256673,-23287000,48676000
1.607159857,1234100000,0.077864134,4.080683389,2.64495,-0.052368683,-59705000,27228000
1.626371706,838450000,0.103412864,3.264826823,2.40359,0.086067923,6887000,43626000
1.830113716,2064350000,0.131566036,3.076711467,1.78303,-0.689728118,79888000,88765000
0.886356932,610900000,0.405583777,1.927542531,0.47454,0.029973436,664818000,284071000
2.834629218,15611570756,0.932932112,3.589296715,2.937,0.022737454,6764600000,1994700000
3.16725269,10994988519,1.067354298,2.291503848,1.74242,-0.048912956,7712900000,1229297000
3.451811777,9965927144,1.222385002,2.119265109,1.60007,0.064036241,8302794000,1147244000
3.68669793,5005141619,1.168831501,1.659532227,1.43819,-0.037832641,7329948000,936419000
3.836275013,4185441006,1.515914287,1.582778232,1.62425,0.04886873,9276753000,1023855000
4.009302631,5828390719,1.412100546,1.970101837,2.39282,0.223775532,8411727000,1247453000
4.353068434,11514841938,0.91544126,2.203401935,1.33265,0.084440517,5117134000,1355884000
4.854028793,4998044644,0.88212579,1.849379855,0.55656,0.122808934,4305963000,1050553000
5.674772956,6351792625,0.77301148,1.830982833,0.68427,0.072702538,3236486000,805886000
5.894260136,3360417663,0.644793145,1.647476485,0.4864,0.083083512,2607509000,428602000
-0.671487827,17529217015,3.491312493,-0.620317093,0.66206,-0.013591368,63102517000,-7729669000
-3.299350611,4709341885,3.491312493,-0.504244302,0.7554,0.005690461,67726423000,-338978000
1.406787611,9287868717,3.491312493,-0.205504606,0.85126,0.032988979,65421257000,-368642000
0.928199676,4970971989,1.324137586,-0.074182973,0.92508,0.000109453,38501952000,-1050572000
0.61095373,2616301047,0.83665671,0.069291315,0.98575,-0.046351433,37764198000,-4764987000
0.45156949,5363417146,0.569720107,0.293587339,1.08578,0.019197023,34485261510,-2037241120
0.390589106,25116490051,0.441623333,0.718677976,1.14937,-0.055547648,31437610510,-585533190
0.305876558,10465204188,0.315837975,0.788045606,1.18297,0.047393708,10184815000,-2297473970
0.306488139,17398401963,0.411514872,0.536972084,1.17449,0.047884434,36712663450,-3971912870
0.290450662,43430597380,0.410176362,0.957133031,1.25764,-0.063596964,38706537380,8580290840
5.32719049,34734892340,0.016796773,20.59174731,3.78875,0.247158273,-2046048000,6165435000
7.443120622,29060400865,0.003218907,6.584588399,2.60356,0.202780471,-3213646000,2490663000
7.092522778,10805186164,0.179657052,4.831309945,0.65861,0.042567302,1273072000,1322223000
9.712003471,1523578436,0.814981038,0.907316688,0.92066,-0.175303826,3897536000,-499263180
7.810435334,1604803134,0.854093067,1.126501914,1.65695,-0.214469634,5168497610,-547856390
6.524627308,3349903475,0.887359324,1.529927821,1.5051,-0.050541784,6203556700,686166440
5.471211697,8679403208,0.814478525,2.392388552,2.8912,-0.02390742,6781902410,1924404530
5.095244216,3417946625,0.91868587,2.122218752,1.6908,0.143590891,7285511790,2071956600
5.460955202,4421687701,0.775439457,2.148867786,1.47998,0.076378242,5682162740,2000678090
6.568502408,3912058384,0.802037461,1.955901266,1.09499,0.250636236,5701790870,1279823980
5.219228765,84216949295,0.468386401,2.515830499,0.21899,0.374527153,6724500000,-1848300000
5.39972818,56253816621,0.148468754,2.464881334,0.34664,0.188740272,186666000,-1101336000
5.441913798,37479228876,0.160086487,3.668140449,0.61442,0.173708292,734925000,-810054000
5.960400355,18738573384,0.15019488,2.537014874,0.58656,0.018181068,1233156000,-1000358000
5.712660399,20543695200,0.139506299,1.719803866,0.83409,-0.150955931,1255055000,-525151000
5.035198061,20032364113,0.118290073,2.14105057,0.83084,-0.001462918,-400124000,241881000
4.659435287,23570357789,0.222741391,2.688662241,1.52181,0.038705768,1397456000,542455000
4.892308661,14596925168,0.383408786,2.157484014,1.16896,-0.041019659,4279930000,457102000
5.100113554,19419870108,0.481260308,2.038060143,1.19947,0.173790417,4636385000,814433000
5.388177759,19334564750,0.335372273,2.962522944,1.68644,-0.251730157,4687110000,4265842000
1.746632526,415145555,0.079446252,4.863701012,0.69455,0.014745385,-23626000,12463000
1.888350362,376346905,0.072708685,3.784619407,0.64318,0.065391953,-27902000,9701000
1.957185246,450064340,0.004863337,4.939908518,0.76177,0.010401615,-49016000,-9035000
2.210154546,271590550,0.015728043,2.430814818,0.60556,0.010238481,-26593530,5492510
2.264475313,128035545,0.055676715,2.147448683,0.81126,0.137041689,-32560940,8254130
2.340675471,178473790,0.059139324,3.323209617,1.05444,-0.007680348,-17975240,8052590
2.408873587,298749605,0.077502271,3.703287046,1.17984,0.00468068,-13578000,11383330
2.500337758,310389200,0.006192171,4.086759569,1.25367,-0.006413496,-42902170,11145270
2.5965266,616898535,0.011042314,4.217695929,0.7455,-0.30383217,-26219130,9938960
2.720973717,186233520,0.007360128,1.625343807,0.48032,-0.325594638,-18113840,10500680
6.93193203,4.01039E+11,0.490524599,4.35017964,1.16059,0.096317225,26056409000,19144239000
7.798522197,2.54036E+11,0.508281389,2.484647778,0.86605,0.227035866,26499585000,13930306000
9.913095752,1.69636E+11,0.604951901,2.327176288,1.49524,0.258380785,15700714000,6199031000
11.95462299,1.3305E+11,0.806276244,1.772841839,0.61138,0.086580701,34546324000,3720777000
14.55053607,1.27736E+11,1.116881103,1.714969502,0.47762,0.036358566,39044112000,7667144000
16.14051647,86384015224,1.221525435,1.683690966,0.51977,0.190478364,37808034000,8081096000
19.64476718,95991681280,1.285630372,1.599710852,0.4347,0.212503366,32965772000,5862476000
26.05122036,57423050161,1.68625115,1.472507131,0.39903,-0.060498944,35516098000,6637758000
27.17890175,51358357616,1.918548846,1.302452232,0.57602,0.116891966,37071828000,6151306000
31.18439904,54129428980,1.989395945,1.387756157,0.46205,-0.012046894,32845549000,5938993450
2.79607565,7129908300,0.226510922,3.241122244,0.70618,0.244307593,-345334000,386307000
3.007120481,5745913550,0.00744833,3.627070847,1.05176,0.078853182,-1502811000,508711000
3.364137326,8722165990,0.009723668,4.939908518,1.18657,0.114213451,-1296492000,594362000
3.909632004,3506251140,0.012792056,2.430814818,1.11593,0.017389197,-1392471000,657409440
4.917015548,2842818630,0.017649808,2.147448683,0.80546,0.036531059,-871863050,467580740
5.75619395,3348726480,0.00255975,3.323209617,0.72195,0.118596917,-823676890,502938530
7.001085382,4929577890,0.014876855,3.703287046,0.73358,-0.013771225,-655605550,338797050
8.373371709,825972000,0.026321283,4.086759569,0.75382,0.015507613,-981004580,345462740
9.770578923,530982000,0.50379347,4.217695929,0.76,0.425871431,-854411200,274498340
11.74018447,363821000,0.045561426,1.625343807,0.62905,0.098070354,-427433450,66671810
1.1832984,4782512422,0,5.759107549,2.49919,0.179589216,-1371348000,99932000
1.359670458,3144078455,0,4.651598796,2.26499,0.082961484,-808736000,22190000
1.419997952,3098072651,0,7.862445881,6.96924,0.05381751,-1036453000,244504000
1.574426779,1829776288,0,3.911616316,5.03237,0.162435813,-2189334000,-285524000
1.799054998,1635297208,0.000938146,3.815546021,7.9843,-0.030004312,-2442207000,188391000
1.745517586,2789688121,0,8.776606346,13.10273,0.092710408,-2437930000,395231000
1.9343738,3741310705,0,8.226621392,9.82549,0.048737053,-2044356000,294102000
2.09090757,2571336364,0.000155644,6.628706084,6.40859,0.056591906,-1528366000,283520000
2.296526067,2605685064,0.000407382,5.258506516,5.04719,0.06107514,-1681077000,307087000
2.306667088,869513015.1,0.000126283,2.715642356,2.67994,0.150817449,-1394781000,58151000
0.465243221,1454664453,0.352056247,1.348902781,0.71545,-0.045289141,1461671000,-378222000
0.441283084,1084004761,0.310384966,1.281096218,0.72006,-0.182257433,1647672000,-235824000
0.432997177,1650484668,0.329829485,1.038230308,0.45698,-0.053589614,1839068000,22908000
0.431106737,786777648.7,0.338314185,0.880476162,0.41507,-0.008049411,1895098000,17209000
0.427311359,419614746,0.339315709,0.868569381,0.42318,-0.042949982,1913834000,-24263000
0.423899591,618931750.4,0.356705729,0.855751147,0.43472,-0.015928278,2015083000,-43079000
0.410697126,1042043286,0.435108249,0.89824627,0.46776,0.017193529,2546493000,-69327000
0.380255171,692364330.9,0.441188641,0.985468485,0.52385,-0.006348113,2685630000,-109518000
0.368961708,468569799.7,0.418472755,1.028198036,0.59985,-0.015747111,2667847000,-202438000
0.365237158,580467065.3,0.403987279,1.104913489,0.6654,-0.014391881,2696775000,-196072000
2.723895861,65266443879,0.120011842,1.743867731,0.20556,0.091616825,1158367000,1077506000
3.016383851,48303777070,0.245858035,1.3892803,0.19829,0.320021993,5428289000,568825000
3.011965828,71963886486,0.28201757,2.585463567,0.39649,0.358416417,6957303000,900203000
3.031617347,50930095298,0.248137533,3.585186008,1.33634,-0.029909925,5604759000,1260011000
3.057148275,60919976040,0.334952412,2.913261818,1.03771,0.062598988,7662998000,1656379000
2.964684107,50610526598,0.223951687,5.73086556,1.00039,0.074022298,5033463000,3805879000
2.912478512,61166997037,0.215954654,5.652360566,0.77582,-0.006057954,4609728000,3708414000
3.999434641,13638480436,0.525662379,2.342589272,0.25789,-0.118554015,8298730000,3514993000
4.492013828,14730944128,0.771961379,1.213555522,0.26295,-0.046037668,10739779000,219465000
4.583882704,17589609925,0.67950661,1.340530936,0.45545,0.533163822,9081298000,1342655480
7.821410608,93489557302,0.771549684,1.343494671,0.17936,0.088038339,8502960000,1988070000
7.884996659,54640695913,0.86645734,0.868376088,0.18247,0.090653777,18821400000,3195510000
8.118522002,84929719069,1.155320063,1.098847843,0.2654,0.002340344,26601750000,4718990000
8.612969718,39327832946,1.339853841,0.999718174,0.25761,0.045653713,22756420000,6099820000
8.090845841,38062200000,1.287915726,1.052489476,0.3271,0.024667823,30636730000,10472970000
8.824359706,43183316871,1.171963699,1.146220657,0.32875,0.190840809,24479820000,6150460000
7.159783333,58709583007,0.842826771,1.496836662,0.52228,0.014817996,22286080000,4692470000
7.597329003,23652428426,0.857471683,1.27086956,0.48832,0.102161084,21250480000,3597420000
